标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,0,,,,,1,in,,,Logic_intro,,,,
EVENT,1,,,,,2,,,,,,,,tip
EVENT,2,,,,,3,,,,,,,,tip1
EVENT,3,,,,,4,,,,,,,,tip2
EVENT,4,,,,,5,,,,,,,,jiu1
#,5,舒悦杉,舒悦杉（平静）,左,请用吧,6,,,,,,,,
#,6,舒悦杉,舒悦杉（平静）,左,这杯名为“金”,7,,,,,,,,
EVENT,7,,,,,8,,,,,,,,canmove
#,8,,,,,9,in,,,,jgn,,,
#,9,莉莉白,莉莉白（严肃）,右, 金，这杯酒还需要一点活性。提取液已经没有用了，要加入活体，哈伦的妹妹就能彻底站起来。,10,,,,Empty Streets,jgj,,,
#,10,金女士,金女士（正常）,右,然后呢？如果失败了，谁来负责？莉莉白，听我的，把现在的配方卖给商会，我们能拿到足够的钱去外地开工厂。,11,,,,,,,,
#,11,莉莉白,莉莉白（生气）,右,我不是为了钱！我是为了救这里的人！你什么时候变得和奎姆一样，眼里只有那些发臭的金币了？,12,,,,,,,,
#,12,金女士,金女士（正常）,右,随你怎么说。在这个镇上，没有钱和权力，你的救赎只是泡影。,13,,,,,,,,
#,13,金女士,金女士（正常）,右,……,14,in,,,,jd,,,
#,14,奎姆,奎姆,右,金女士，只要你把那个“除雾酒”的核心步骤告诉我，这份合同就是你的。,15,,,,,,,,
#,15,金女士,金女士（正常）,右, ……我只能给你稳定版的数据。你必须答应我，拿到配方后，不要去动她的酒馆。,16,,,,,,,,
#,16,奎姆,奎姆,右,当然。我只对赚钱感兴趣，对脑子里只有酒的疯子没兴趣。,17,,,,,,,,
#,17,,,,,18,in,,,A Lullaby,jgn,,,
#,18,金女士,金女士（微醺）,右,我做的每一个决定都是为了让生意继续下去。如果我不去谈那个合同，商会早就强行破门了。,19,,,,,,,,
#,19,舒悦杉,舒悦杉（平静）,左,但最后火还是烧起来了，就在你拿到启动资金的那天晚上。,20,,,,,,,,
#,20,金女士,金女士（微醺）,右, 那是因为哈伦那个叛徒！,21,,,,,,,,
#,21,哈伦,哈伦（生气）,右,你说什么？！,22,,,,,,,,
#,22,金女士,金女士（微醺）,右,舒小姐，你以为哈伦是好人？他那天晚上急匆匆地跑去见镇长，不是为了救莉莉白。他是去告密的！,23,,,,,,,,
#,23,金女士,金女士（微醺）,右, 他告诉镇长，莉莉白在酒馆里私藏了“亵渎神灵”的酒虫卵。哈伦为了让自己的饭碗，为了洗清他妹妹参与实验的嫌疑，亲手把火引向了酒馆！,24,,,,,,,,
#,24,金女士,金女士（微醺）,右,他才是那个最怕莉莉白活下来的人。因为莉莉白一旦成功，就证明他之前的恐惧和阻挠是多么可笑。,25,,,,,,,,
#,25,哈伦,哈伦（生气）,右,你胡说！什么虫卵！莉莉白要用那种莫名其妙的酒害我妹妹！！,26,,,,,,,,
#,26,哈伦,哈伦（生气）,右,明明是她自己跳进火坑，是她自己要做那种危险的事情。她还要害了所有人！！,27,,,,,,,,
#,27,哈伦,哈伦（生气）,右,还有，金女士，收起你那套“为了生意”的鬼话。你我都清楚，莉莉白的研究一旦成功，商会的除雾器就会变成废铁。,28,,,,,,,,
#,28,哈伦,哈伦（生气）,右,你拿那笔钱，是为了毁掉你的竞争对手，并让自己这个外乡人在这个城镇站稳脚跟,29,,,,,,,,
#,29,金女士,金女士（轻蔑）,右,那么你呢，哈伦队长？你口口声声说为了妹妹，可你所谓的“保护”，就是把她关在那个发霉的屋子里，看着她一点点烂掉？,30,,,,,,,,
#,30,金女士,金女士（冷笑）,右,莉莉白想给她的是新生，而你因为害怕未知，选择让她和你一起在坟墓里等死。,31,,,,,,,,
#,31,哈伦,哈伦（生气）,右,我是在救她！那种虫卵会把她变成怪物！我向镇长报告，是为了让秩序接管失控的实验，我没想过他们会放火！,32,,,,,,,,
#,32,金女士,金女士（轻蔑）,右,秩序？在苔眠地，秩序就是手心里的灰尘。你把希望交给屠夫，却在这里指责拿走金币的人。,33,,,,,,,,
#,33,舒悦杉,舒悦杉（生气）,左,够了！你们两个……,34,,,,,,,,
#,34,舒悦杉,舒悦杉（生气）,左,你们都在说对方是凶手，但没人告诉我，火烧起来的时候，莉莉白最后去了哪？她在那场火里到底——,35,,,,,,,,
#,35,雪克,雪克（惊恐）,右,黑影……黑影撞门了！,36,,,,MADOHI_BPM_intro,,,,
#,36,哈伦,哈伦（正常）,右, 该死，巡逻信号！这种规模的雾气……预警装置是摆设吗？？！,37,,,,,,,,
#,37,金女士,金女士（恐慌）,右,……舒小姐，今晚到此为止吧。有些真相如果不被掩埋，大家都没法活下去。,38,,,,,,,,
#,38,哈伦,哈伦（正常）,右,舒小姐，守好你的店。我先走了,39,,,,,,,,
#,39,雪克,雪克（惊恐）,右,走了……全走了。舒，刚才那是传说中的黑影吗？它看起来好恐怖....,40,,,,,,,,
#,40,舒悦杉,舒悦杉（正常）,左,雪克，关灯吧。注意大门和窗户，别让那东西进来。,41,,,,,,,,
#,41,舒悦杉,舒悦杉（正常）,左,从我来到这里开始...实在是发生太多事情了,42,,,,A Lullaby,,,,
#,42,舒悦杉,舒悦杉（正常）,左,雪克暂且不论...塞塔……那个孩子知道的东西比她敢说的多。,43,,,,,,,,
#,43,舒悦杉,舒悦杉（正常）,左,"那张图解，那些关于莉莉白的回忆，她一直在用自己的方式帮我。但她也在害怕——害怕这座镇子，害怕那些""黑影""，更害怕自己说出的话会伤害到谁。",44,,,,,,,,
#,44,舒悦杉,舒悦杉（正常）,左,"哈伦。一个被愧疚和恐惧同时撕碎的哥哥。他妹妹腿上的苔藓、那些能量块的空壳、他关门时说的那句""你需要冷静一下""……",45,,,,,,,,
#,45,舒悦杉,舒悦杉（正常）,左,他没有想过害莉莉白，但他的沉默和愤怒确实把她推向了深渊。而他现在还在守着那间发霉的屋子，守着一份早已腐烂的希望。,46,,,,,,,,
#,46,舒悦杉,舒悦杉（正常）,左,金女士。她说稳定、说量产、说小镇的未来——但她从没提过她拿那笔钱的时候，莉莉白是不是已经被逼到了墙角。,47,,,,,,,,
#,47,舒悦杉,舒悦杉（正常）,左,她和哈伦互相指责，但他们两个都在回避同一个问题：火。,48,,,,,,,,
#,48,舒悦杉,舒悦杉（正常）,左,还有那个黑影。它刚才就撞在门上。镇民说它是邪灵，哈伦说它是幻觉，可我感觉到了……那不是雾，那是某种活着的东西。,49,,,,,,,,
#,49,舒悦杉,舒悦杉（平静）,左,所以，现在……,50,,,,,,,,
CHOICE,50,,,,关于莉莉白的下落|关于黑影与雾的真相|大概只能猜测这些了,51|66|81,,,,,,,,
#,51,舒悦杉,舒悦杉（平静）,左,先把我知道的线索列出来吧。,52,,,,,,,,
#,52,舒悦杉,舒悦杉（平静）,左,"第一，雪克说失踪当晚，莉莉白满脸是灰地冲进酒馆，急匆匆往吧台夹层里塞了件东西，说""藏好它。",53,,,,,,,,
#,53,舒悦杉,舒悦杉（平静）,左,然后他才断电。这说明她当时已经知道自己要出事，而且那件东西比她的命还重要。,54,,,,,,,,
#,54,舒悦杉,舒悦杉（平静）,左,第二，哈伦说广场事件之后，莉莉白曾在第二天晚上找过他，求他帮忙拖延时间、送她去码头。,55,,,,,,,,
#,55,舒悦杉,舒悦杉（平静）,左,"她还说会找到""不需要虫卵也能完成配方的办法""。也就是说，她当时还没放弃，还在计划离开苔眠地。",56,,,,,,,,
#,56,舒悦杉,舒悦杉（平静）,左,"第三，火不是抓人那天烧的。哈伦说""第二天他们去酒馆抓人""，火是""后来才烧起来的""。",57,,,,,,,,
#,57,舒悦杉,舒悦杉（平静）,左,但雪克再醒来时，酒馆干净得像没着过火，门口把手还被人擦得发亮。,58,,,,,,,,
#,58,舒悦杉,舒悦杉（平静）,左,第四，我收到的那封信。没有署名，但有腐烂苔藓混合陈年酒曲的异香……那种味道，和莉莉白研究的东西一模一样。,59,,,,,,,,
#,59,舒悦杉,舒悦杉（凝重）,左,所以……,60,,,,,,,,
CHOICE,60,,,,"莉莉白还活着，并且躲起来了|莉莉白被抓了|莉莉白的""下落""和她的研究是一回事",61|62|64,,,,,,,,
#,61,舒悦杉,舒悦杉（凝重）,左,如果火是后来才烧的，那说明抓人当天她可能逃掉了。她往吧台塞了东西，说明她早就准备了后路。那封信……会不会就是她寄的？或者，是某个帮她的人寄的？,65,,,,,,,,
#,62,舒悦杉,舒悦杉（凝重）,左,"科马克说要""控制舆论""，要""抓她""。如果酒馆的大火是灭口，那她的尸体在哪？",63,,,,,,,,
#,63,舒悦杉,舒悦杉（凝重）,左,"哈伦说""不知道她到底有没有被抓住""。如果被抓了，她可能被关在别的地方——某个和""苔母""、和商会、和除雾器有关的地方。",65,,,,,,,,
#,64,舒悦杉,舒悦杉（凝重）,左,"她最后说会找到""不需要虫卵的配方""。如果她成功了，她为什么要躲？如果她失败了……那件藏在吧台里的东西，是不是就是她失败或成功的关键？",65,,,,,,,,
#,65,舒悦杉,舒悦杉（平静）,左,线索还是太少了。但有一件事是确定的——吧台夹层里的东西，我必须找到。,50,,,,,,,,
#,66,舒悦杉,舒悦杉（凝重）,左,那个黑影……它到底是什么？,67,,,,,,,,
#,67,舒悦杉,舒悦杉（平静）,左,先整理所有关于它的描述。,68,,,,,,,,
#,68,舒悦杉,舒悦杉（平静）,左,第一，它是在莉莉白失踪后才出现的。,69,,,,,,,,
#,69,舒悦杉,舒悦杉（平静）,左,"第二，它攻击酒馆。刚才它直接撞上了门。镇民喊""那个外地女人一回来，酒馆的灯就亮了，黑影也就跟着出现了""。它在追什么？酒馆里有什么东西在吸引它？",70,,,,,,,,
#,70,舒悦杉,舒悦杉（平静）,左,第三，莉莉白的酒。她的酒能让哈伦妹妹腿上的苔藓剥落，也能让剩下的苔藓释放雾气。迷雾、苔藓、酒、虫卵……这些东西的界限，也许根本没我想的那么清楚。,71,,,,,,,,
#,71,舒悦杉,舒悦杉（平静）,左,所以……,72,,,,,,,,
CHOICE,72,,,,"黑影是雾的实体化，或者""苔母""的某种形态|黑影与莉莉白的实验有关|黑影在找某样东西",73|75|77,,,,,,,,
#,73,舒悦杉,舒悦杉（凝重）,左,"哈伦说""苔母""可能在地下呼吸，""醒来的代价越来越高""。如果祭祀只是安抚，那它现在是不是醒了？",74,,,,,,,,
#,74,舒悦杉,舒悦杉（凝重）,左,"黑影是它的一部分？塞塔说直视它会""梦见变苔藓""……纳尔曼看到的""数骨头""，会不会是它在把人""收回""雾里？",80,,,,,,,,
#,75,舒悦杉,舒悦杉（凝重）,左,"莉莉白在酒里加了虫卵，造成了""冒雾""的反效果。如果虫卵和迷雾是同源的，那她是不是无意中创造了一种连接？",76,,,,,,,,
#,76,舒悦杉,舒悦杉（凝重）,左,"黑影出现在她失踪之后，镇民说她是""邪灵""。会不会……黑影就是她实验失败的产物？",80,,,,,,,,
#,77,舒悦杉,舒悦杉（凝重）,左,"它撞的是酒馆的门。酒馆里藏着莉莉白塞的东西，也可能藏着那颗""虫卵""。",78,,,,,,,,
#,78,舒悦杉,舒悦杉（凝重）,左,如果黑影是被某种气息吸引来的，那它想要的会不会就是莉莉白留下的那件东西？,79,,,,,,,,
#,79,舒悦杉,舒悦杉（凝重）,左,"纳尔曼说它""数骨头""——也许不是数骨头，是在找什么特定的人或物。",80,,,,,,,,
#,80,舒悦杉,舒悦杉（平静）,左,不管是哪种可能，黑影、迷雾、莉莉白的酒，这三件事一定共享同一个根源。,50,,,,,,,,
#,81,舒悦杉,舒悦杉（平静）,左,明天……我明天再去拜访他们吧。,82,,,,,,,,
#,82,,,,第二天,83,,,,,,,,
#,83,舒悦杉,舒悦杉（惊讶）,左,谁？！,84,,,,Explore,,,,
#,84,？？,莱特（正常）,右,哟……看来我不在的时候，你把这个老古董照顾得不错。雪克，你生锈到动不了了吗？,85,,,,,,,,
#,85,雪克,雪克（兴奋）,右,莱特！！老天爷，你终于舍得回来了！！莉莉白她——,86,,,,,,,,
#,86,莱特,莱特（严肃）,右,……我知道。,87,,,,,,,,
#,87,舒悦杉,舒悦杉（惊讶）,左,他是...,88,,,,,,,,
#,88,？？,莱特（严肃）,右,你是舒悦杉。莉莉白以前总提起你。,89,,,,,,,,
#,89,莱特,莱特（严肃）,右,我是莱特。这间酒馆的改造者，雪克的造物主。,90,,,,,,,,
#,90,莱特,莱特（严肃）,右,三个月前我离开这里的时候，酒馆还是活的——能呼吸，能生长，能在这片雾里自己活下去。但我在岛外听到了消息。酒馆着火了，莉莉白失踪了。,91,,,,,,,,
#,91,莱特,莱特（严肃）,右,我猜到这一天会来。只是没想到……他们会这么急。,92,,,,,,,,
#,92,莱特,莱特（严肃）,右,三个月前，我在酒馆的核心里埋了一颗种子。,93,,,,,,,,
#,93,莱特,莱特（严肃）,右,我把它交给了莉莉白，告诉她这是救这个镇子的唯一办法。但我也警告过她——镇上的人不会允许她成功。,94,,,,,,,,
#,94,莱特,莱特（严肃）,右,现在种子还在。但莉莉白不在了。,95,,,,,,,,
#,95,莱特,莱特（严肃）,右,"你是她选中的""接班人""，所以你也有权利知道——你继承的到底是一间酒馆，还是一个被全镇人恐惧的秘密。",96,,,,,,,,
#,96,塞塔,塞塔（正常）,右,莱特哥哥，你知道莉莉白姐姐在哪对不对？带我们去好不好？,97,,,,,,,,
#,97,莱特,莱特（严肃）,右,…..,98,,,,,,,,
#,98,莱特,莱特（严肃）,右,没那么难容易，塞塔。跟我来吧，我有东西要给你们看。,99,,,,,,,,
#,99,莱特,莱特（严肃）,右,舒，你也来。这是你作为‘接班人’必须承载的重量。,100,,,,,,,,
#,100,,,,,101,in,,,Mystery Unsolved,ds,,,
#,101,舒悦杉,舒悦杉（凝重）,左,每走一步都像踩在腐烂的棉花里，太阳穴跳动得厉害……,102,,,,,,,,
#,102,莱特,莱特（严肃）,右,"你知道这个雕塑是什么吗？镇上的人叫它""苔母""，以为是神迹。",103,,,,,,,,
#,103,莱特,莱特（严肃）,右,但他们不知道的是，这下面曾经活着的东西，和酒馆里的那颗卵，是同一个源头。,104,,,,,,,,
#,104,舒悦杉,舒悦杉（疑惑）,左,同一个源头？,105,,,,,,,,
#,105,莱特,莱特（严肃）,右,"酒虫。这才是""苔母""真正的名字。吃雾而生，吐雾而死。",106,,,,,,,,
#,106,莱特,莱特（严肃）,右,先祖们偶然泼酒退雾的那一年，不是因为酒有奇效——是因为酒里有酒虫的残余。酒虫吃了雾，雾就散了。,107,,,,,,,,
#,107,莱特,莱特（严肃）,右,镇长知道真相。所以他才定下祭祀——每年泼酒，不是为了敬神，,108,,,,,,,,
#,108,莱特,莱特（严肃）,右,是为了喂养地下的酒虫，让它继续替镇上吃雾。而活祭……,109,,,,,,,,
#,109,莱特,莱特（严肃）,右,我父亲曾经是科马克的助手。他负责的，就是那一部分,110,,,,,,,,
#,110,舒悦杉,舒悦杉（惊讶）,左,你的父亲……,111,,,,,,,,
#,111,莱特,莱特（正常）,右,他亲眼看过太多次。不忍心，所以开始研究——想找到一种不需要活祭就能除雾的办法。,112,,,,,,,,
#,112,莱特,莱特（严肃）,右,他设计了初版除雾机的雏形，用机械抽取雾气，代替祭祀。,113,,,,,,,,
